,0
1961,268.44
1962,67.1
1963,109.0
1964,41.73
1965,51.56
1966,33.53
1967,42.65
1968,121.68
1969,58.89
1970,0.0
1971,71.64
1972,47.1
1973,0.0
1974,33.36
1975,20.5
1976,9.5
1977,46.62
1978,24.43
1979,53.74
1980,61.24
1981,0.0
1982,73.37
1983,0.0
1984,24.08
1985,160.77
1986,32.0
1987,11.8
1988,96.24
1989,41.06
1990,43.77
1991,15.71
1992,0.0
1993,9.7
1994,66.39
1995,15.01
1996,220.58
1997,6.25
1998,539.28
1999,57.99
2000,46.79
2001,0.0
2002,0.0
2003,52.11
2004,217.77
2005,0.0
2006,0.0
2007,11.94
2008,11.87
2009,21.04
2010,580.69
2011,29.56
2012,11.57
2013,44.59
2014,23.74
2015,18.02
2016,1263.89
2017,38.33
2018,50.73
2019,0.0
2020,6.19
2021,28.82
2022,0.0
2023,0.0
2024,11.55
2025,63.75
2026,0.0
2027,274.28
2028,100.73
2029,67.15
2030,1299.44
2031,47.24
2032,118.65
2033,11.04
2034,6.74
2035,45.05
2036,0.0
2037,0.0
2038,111.48
2039,36.04
2040,8.67
2041,78.25
2042,41.66
2043,18.59
2044,15.16
2045,21.23
2046,21.65
2047,18.74
2048,14.49
2049,0.0
2050,0.0
2051,18.1
2052,82.59
2053,37.18
2054,51.18
2055,98.26
2056,19.25
2057,31.43
2058,14.98
2059,59.6
2060,181.81
2061,0.0
2062,0.0
2063,113.75
2064,223.28
2065,103.12
2066,11.22
2067,131.16
2068,52.82
2069,21.94
2070,34.11
2071,0.0
2072,51.04
2073,58.36
2074,17.39
2075,58.91
2076,73.95
2077,16.19
2078,45.21
2079,46.08
2080,49.05
2081,18.4
2082,57.1
2083,57.61
2084,28.11
2085,1033.81
2086,24.15
2087,20.97
2088,136.08
2089,346.12
2090,5.71
2091,96.45
2092,26.16
2093,16.47
2094,0.0
2095,424.09
2096,23.73
2097,690.36
2098,48.79
2099,13.34
2100,28.66
2101,22.96
2102,21.78
2103,0.0
2104,29.09
2105,23.49
2106,52.4
2107,11.51
2108,0.0
2109,21.1
2110,319.7
2111,6.93
2112,29.14
2113,27.17
2114,61.49
2115,69.36
2116,12.96
2117,15.8
2118,163.83
2119,33.41
2120,58.42
2121,21.18
2122,119.62
2123,46.72
2124,0.0
2125,27.67
2126,0.0
2127,141.24
2128,26.31
2129,82.29
2130,0.0
2131,18.5
2132,18.8
2133,16.48
2134,138.15
2135,78.66
